sp,Longitud,Latitud
Tolypeutes_matacus,-63.1641654,-25.2370825
Tolypeutes_matacus,-61.4010755,-24.485804
Tolypeutes_matacus,-61.478905,-24.4857389
Tolypeutes_matacus,-61.5331059,-24.4192544
Tolypeutes_matacus,-61.4964305,-24.3862609
Tolypeutes_matacus,-61.8210618,-24.286145
Tolypeutes_matacus,-61.7088663,-23.5418055
Tolypeutes_matacus,-62.0784925,-23.5176757
Tolypeutes_matacus,-61.9084389,-23.4508242
Tolypeutes_matacus,-61.7733852,-23.4401692
Tolypeutes_matacus,-61.8670572,-23.3134334
Tolypeutes_matacus,-62.2769838,-23.2888087
Tolypeutes_matacus,-62.0831981,-23.2550044
Tolypeutes_matacus,-61.9500041,-23.2500001
Tolypeutes_matacus,-61.7516452,-23.2133611
Tolypeutes_matacus,-61.9012148,-23.2088435
Tolypeutes_matacus,-62.2839905,-23.0537319
Tolypeutes_matacus,-62.2531721,-22.9756664
Tolypeutes_matacus,-62.3149709,-22.9530259
Tolypeutes_matacus,-62.2566257,-22.8871
Tolypeutes_matacus,-62.3348457,-22.8361084
Tolypeutes_matacus,-62.2602255,-22.6706893
Tolypeutes_matacus,-62.2937042,-22.666901
Tolypeutes_matacus,-62.2487194,-22.6300299
Tolypeutes_matacus,-62.8215399,-22.5179075
Tolypeutes_matacus,-62.1881027,-25.1315074
Tolypeutes_matacus,-62.79129,-25.0179
Tolypeutes_matacus,-62.370729,-29.203441
Tolypeutes_matacus,-67.37068,-30.79398
Tolypeutes_matacus,-63.943278,-25.83654
Tolypeutes_matacus,-66.880986,-33.414026
Tolypeutes_matacus,-57.506924,-18.039748
Tolypeutes_matacus,-66.916667,-32.35
Tolypeutes_matacus,-67.411998,-30.64184
Tolypeutes_matacus,-59.612914,-24.888959
Tolypeutes_matacus,-59.852071,-24.651109
Tolypeutes_matacus,-61.323569,-25.375812
Tolypeutes_matacus,-61.40671,-27.09502
Tolypeutes_matacus,-61.70746,-25.96175
Tolypeutes_matacus,-67.131268,-33.303216
Tolypeutes_matacus,-63.06039,-22.36642
Tolypeutes_matacus,-58.186667,-16.170278
Tolypeutes_matacus,-67.12383,-30.61184
Tolypeutes_matacus,-62.94944,-22.21361
Tolypeutes_matacus,-58.16152,-25.08579
Tolypeutes_matacus,-57.509949,-18.301047
Tolypeutes_matacus,-60.298996,-22.344551
Tolypeutes_matacus,-63.573675,-29.738658
Tolypeutes_matacus,-67.025849,-33.398397
Tolypeutes_matacus,-64.105932,-24.967563
Tolypeutes_matacus,-67.460915,-33.358622
Tolypeutes_matacus,-62.86851,-22.00089
Tolypeutes_matacus,-59.67416,-22.530035
Tolypeutes_matacus,-64.204069,-29.66057
Tolypeutes_matacus,-61.50681,-26.14497
Tolypeutes_matacus,-61.53625,-25.92334
Tolypeutes_matacus,-62.060638,-26.132754
Tolypeutes_matacus,-60.5,-22.05
Tolypeutes_matacus,-60.801889,-25.770944
Tolypeutes_matacus,-64.061622,-28.204979
Tolypeutes_matacus,-62.872588,-23.454743
Tolypeutes_matacus,-60.13427,-21.6969
Tolypeutes_matacus,-58.69,-19.57057
Tolypeutes_matacus,-60.13333333,-22.65
Tolypeutes_matacus,-61.094255,-25.178931
Tolypeutes_matacus,-60.94658646,-24.99382599
Tolypeutes_matacus,-62.04916667,-20.60527778
Tolypeutes_matacus,-67.044588,-32.568857
Tolypeutes_matacus,-61.082547,-25.166999
Tolypeutes_matacus,-58.140986,-25.072246
Tolypeutes_matacus,-60.41593,-24.91074
Tolypeutes_matacus,-60.316856,-24.22092
Tolypeutes_matacus,-61.65608,-25.91497
Tolypeutes_matacus,-67.31273,-30.80677
Tolypeutes_matacus,-63.08,-22.16389
Tolypeutes_matacus,-65.918938,-32.39567
Tolypeutes_matacus,-65.969399,-32.355127
Tolypeutes_matacus,-62.48819,-24.41465
Tolypeutes_matacus,-61.8647,-26.21906
Tolypeutes_matacus,-64.9841,-25.04081
Tolypeutes_matacus,-65.261976,-32.112244
Tolypeutes_matacus,-67.473675,-30.629633
Tolypeutes_matacus,-62.84917,-22.15861
Tolypeutes_matacus,-62.81307,-22.33612
Tolypeutes_matacus,-63.884876,-30.511511
Tolypeutes_matacus,-66.5851,-32.293
Tolypeutes_matacus,-63.20827,-28.00258
Tolypeutes_matacus,-63.01754,-22.11139
