Number;Coleccion;Pais;Provincia;Localidad;FechaColecta;Ano_colecta;Latitud;Longitud;Temporalidad;Origen;BIBLIOGRAFIA
1;CAMI_01252;AR;Salta; Impenetrable ;2011;2011;-25.2370825;-63.1641654;Actual;Santos 2017;Not published yet
2;CAMI_01171;AR;Formosa; Impenetrable ;2011-2013;2012;-24.485804;-61.4010755;Actual;Santos 2017;Not published yet
3;CAMI_01172;AR;Formosa; Impenetrable ;2011-2013;2012;-24.4857389;-61.478905;Actual;Santos 2017;Not published yet
4;CAMI_01170;AR;Formosa; Impenetrable ;2011-2013;2012;-24.4192544;-61.5331059;Actual;Santos 2017;Not published yet
5;CAMI_01169;AR;Formosa; Impenetrable ;2011-2013;2012;-24.3862609;-61.4964305;Actual;Santos 2017;Not published yet
6;CAMI_01129;AR;Formosa; Impenetrable ;2011-2013;2012;-24.286145;-61.8210618;Actual;Santos 2017;Not published yet
7;CAMI_01207;AR;Formosa; Impenetrable ;2011-2013;2012;-23.5418055;-61.7088663;Actual;Santos 2017;Not published yet
8;CAMI_01208;AR;Formosa; Impenetrable ;2011-2013;2012;-23.5176757;-62.0784925;Actual;Santos 2017;Not published yet
9;CAMI_01196;AR;Formosa; Impenetrable ;2011-2013;2012;-23.4508242;-61.9084389;Actual;Santos 2017;Not published yet
10;CAMI_01197;AR;Formosa; Impenetrable ;2011-2013;2012;-23.4401692;-61.7733852;Actual;Santos 2017;Not published yet
11;CAMI_01165;AR;Formosa; Impenetrable ;2011-2013;2012;-23.3134334;-61.8670572;Actual;Santos 2017;Not published yet
12;CAMI_01149;AR;Formosa; Impenetrable ;2011-2013;2012;-23.2888087;-62.2769838;Actual;Santos 2017;Not published yet
13;CAMI_01168;AR;Formosa; Impenetrable ;2011-2013;2012;-23.2550044;-62.0831981;Actual;Santos 2017;Not published yet
14;CAMI_01206;AR;Formosa; Impenetrable ;2011-2013;2012;-23.2500001;-61.9500041;Actual;Santos 2017;Not published yet
15;CAMI_01166;AR;Formosa; Impenetrable ;2011-2013;2012;-23.2133611;-61.7516452;Actual;Santos 2017;Not published yet
16;CAMI_01167;AR;Formosa; Impenetrable ;2011-2013;2012;-23.2088435;-61.9012148;Actual;Santos 2017;Not published yet
17;CAMI_01198;AR;Formosa; Impenetrable ;2011-2013;2012;-23.0537319;-62.2839905;Actual;Santos 2017;Not published yet
18;CAMI_01200;AR;Formosa; Impenetrable ;2011-2013;2012;-22.9756664;-62.2531721;Actual;Santos 2017;Not published yet
19;CAMI_01199;AR;Formosa; Impenetrable ;2011-2013;2012;-22.9530259;-62.3149709;Actual;Santos 2017;Not published yet
20;CAMI_01201;AR;Formosa; Impenetrable ;2011-2013;2012;-22.8871;-62.2566257;Actual;Santos 2017;Not published yet
21;CAMI_01205;AR;Formosa; Impenetrable ;2011-2013;2012;-22.8361084;-62.3348457;Actual;Santos 2017;Not published yet
22;CAMI_01204;AR;Formosa; Impenetrable ;2011-2013;2012;-22.6706893;-62.2602255;Actual;Santos 2017;Not published yet
23;CAMI_01203;AR;Formosa; Impenetrable ;2011-2013;2012;-22.666901;-62.2937042;Actual;Santos 2017;Not published yet
24;CAMI_01202;AR;Formosa; Impenetrable ;2011-2013;2012;-22.6300299;-62.2487194;Actual;Santos 2017;Not published yet
25;CAMI_01160;AR;Salta; Impenetrable ;2011;2011;-22.5179075;-62.8215399;Actual;Santos 2017;Not published yet
26;CAMI_01295;AR;Chaco; Impenetrable ;2011;2011;-25.1315074;-62.1881027;Actual;Santos 2017;Not published yet
27;CAMI_01072;AR;Chaco; Impenetrable ;2011;2011;-25.0179;-62.79129;Actual;Santos 2017;Not published yet
28;79951;PY;Boqueron;10 KM SOUTH OF FILADELFIA;7/7/1996;1996;-22.446132;-60.027998;Actual;GBIF;
29;124721;PY;Alto Paraguay;11.8KM BY RD W FORTIN MADREJON;12/8/1976;1976;-20.627827;-59.989078;Actual;GBIF;
30;20652;PY;Boqueron;15 KILOMETERS S OF DARK HEAD QUARTERS AT TENIENTE ENCISO, ON THE ESTAOCCA LA MADELON;8/6/1983;1983;-21.246111;-61.611383;Actual;VertNet;
31;MHNG-MAM-1689.061;PY;Boqueron;15 km ouest du Fortin Pratt Gill;26/7/1985;1985;-22.55851;-61.75865;Actual;GBIF;
32;19818;PY;Boqueron;19 km N of Filadelfia- Estancia Iparoma;29/7/1978;1978;-22.201242;-60.049706;Actual;VertNet;
33;23719;AR;Chaco;20 km NNW by road and 11 km NE by road Pampa El Mangrullo;15/11/1990;1990;-25.908708;-61.220276;Actual;VertNet;
34;124720;PY;Alto Paraguay;20.1KM BY RD W FORTIN MADREJON;6/8/1976;1976;-20.585783;-60.065809;Actual;GBIF;
35;19884;PY;Alto Paraguay;28 km N - 52 km W of Mayor Pablo Lagerenza;9/8/1978;1978;-19.677265;-61.265968;Actual;VertNet;
36;32623;AR;Catamarca;28.1 km S Casa de Piedra on El Quimilo Rd;1/6/2002;2002;-29.847567;-65.429783;Actual;GBIF;
37;M-260320;BO;Santa Cruz;29.5 kilometers west of Robore;6/10/1984;1984;-18.183333;-60.016667;Actual;GBIF;
38;145367;PY;Presidente Hayes;295 km NW (by road) Villa Hayes;1/2/1973;1973;-23.2;-59.18333;Actual;GBIF;
39;79953;PY;Boqueron;30 KM N MCAL. ESTIGARRIBIA;9/9/1996;1996;-21.749666;-60.575832;Actual;GBIF;
40;32984;AR;Salta;31 km SSW Dragones along Rio Bermejo;1993;1993;-23.493667;-63.428667;Actual;GBIF;
41;2045/6303;BO;Chuquisaca;4.5KM by road W of Carandayti;1985;1985;-20.765802;-63.106193;Actual;Anderson 1997;Anderson, 1997
42;19893;PY;Boqueron;40 km NW of Pratt-Gill AF Base;20/9/1978;1978;-22.384859;-61.776336;Actual;VertNet;
43;19883;PY;Alto Paraguay;42 km WNW - 11 km N by road of Mayor Pablo Lagerenza;9/7/1978;1978;-19.73937;-61.176719;Actual;VertNet;
44;145365;PY;Boqueron;474 km NW by road- Villa Hayes;30/7/1973;1973;-22.26667;-60.36667;Actual;GBIF;
45;;AR;Salta;5 km al W de Jollin;1972-1984;1980;-22.133;-63.4;Actual;Ojeda y Mares 1989;Diaz et al., 2000
46;17518;PY;Presidente Hayes;5 km NE of Pozo Colorado;14/7/1975;1975;-23.454411;-58.764097;Actual;VertNet;
47;66494;AR;La Rioja;50km al S de Ulapes Puesto La Suspencion;16/7/1995;1995;-31.96467;-66.209328;Actual;GBIF;
48;126292;PY;Alto Paraguay;50KM WNW MADREJON,MISION NUEVO TRIBU;8/7/1978;1978;-20.47592;-60.319721;Actual;GBIF;
49;M-246460;BO;Chuquisaca;56 kilometers by road east of Tiguipa;26/5/1979;1979;-21.06302;-62.787475;Actual;VertNet;
50;16743;PY;Presidente Hayes;5Km NE of LIne Camp on Rio Verde- Juan de Zalazar;20/9/1973;1973;-23.431754;-58.875478;Actual;VertNet;
51;20126;BO;Tarija;60km SE de Villa Montes;30/11/1975;1975;-21.539921;-62.971726;Actual;GBIF;
52;M-246461;BO;Chuquisaca;64 kilometers east of Tiguipa-71 km east of Tiguipa- BanadoYuguapua;25/5/1979;1979;-21.055443;-62.704518;Actual;VertNet;
53;M-247658;BO;Santa Cruz;7 kilometers east and 3 kilometers north of Ingenio Mora;8/8/1980;1980;-18.441635;-63.132596;Actual;VertNet;
54;19890;PY;Alto Paraguay;8 km N + 37 km W of Mayor Pablo Lagerenza;9/9/1978;1978;-19.851714;-61.125125;Actual;VertNet;
55;AMF018;AR;Santiago del Estero;A 20 km de Malbran yendo a Bandera;28/7/2015;2015;-29.203441;-62.370729;Actual;DatabaseAMF;
56;MA09;AR;San Juan;Agua Cercada;16/9/2011;2011;-30.79398;-67.37068;Actual;This work;
